USR_KEY;ENT;HIGH_RISK;IS_ASSIGNED
0;38;L;Y
0;72;L;Y
0;83;L;Y
0;151;L;Y
0;187;L;Y
0;193;L;Y
0;335;L;Y
0;361;L;Y
0;385;L;Y
0;470;L;Y
0;508;L;Y
0;556;L;Y
0;572;L;Y
0;625;L;Y
0;652;L;Y
0;705;L;Y
0;709;L;Y
0;712;L;Y
0;719;L;Y
0;759;L;Y
0;815;L;Y
0;822;L;Y
0;842;L;Y
0;849;L;Y
0;889;L;Y
0;915;L;Y
0;943;L;Y
0;985;L;Y
1;10;L;Y
1;15;L;Y
1;29;L;Y
1;38;L;Y
1;110;L;Y
1;158;L;Y
1;244;L;Y
1;307;L;Y
1;310;L;Y
1;336;L;Y
1;373;L;Y
1;385;L;Y
1;422;L;Y
1;456;L;Y
1;460;L;Y
1;532;L;Y
1;533;L;Y
1;539;L;Y
1;584;L;Y
1;647;L;Y
1;719;L;Y
1;738;L;Y
1;750;L;Y
1;783;L;Y
1;820;L;Y
1;822;L;Y
1;827;L;Y
1;884;L;Y
2;37;L;Y
2;61;L;Y
2;244;L;Y
2;272;L;Y
2;358;L;Y
2;366;L;Y
2;385;L;Y
2;397;L;Y
2;444;L;Y
2;455;L;Y
2;470;L;Y
2;477;L;Y
2;536;L;Y
2;561;L;Y
2;581;L;Y
2;587;L;Y
2;730;L;Y
2;738;L;Y
2;752;L;Y
2;797;L;Y
2;843;L;Y
2;896;L;Y
2;921;L;Y
2;983;L;Y
3;2;L;Y
3;24;L;Y
3;37;L;Y
3;40;L;Y
3;134;L;Y
3;151;L;Y
3;162;L;Y
3;201;L;Y
3;255;L;Y
3;267;L;Y
3;300;L;Y
3;307;L;Y
3;358;L;Y
3;466;L;Y
3;488;L;Y
3;555;L;Y
3;581;L;Y
3;652;L;Y
3;677;L;Y
3;719;L;Y
3;786;L;Y
3;812;L;Y
3;813;L;Y
3;849;L;Y
3;891;L;Y
4;37;L;Y
4;38;L;Y
4;41;L;Y
4;72;L;Y
4;110;L;Y
4;112;L;Y
4;151;L;Y
4;198;L;Y
4;229;L;Y
4;244;L;Y
4;277;L;Y
4;307;L;Y
4;354;L;Y
4;358;L;Y
4;385;L;Y
4;456;L;Y
4;537;L;Y
4;586;L;Y
4;610;L;Y
4;652;L;Y
4;658;L;Y
4;733;L;Y
4;750;L;Y
4;809;L;Y
4;987;L;Y
5;27;L;Y
5;110;L;Y
5;127;L;Y
5;198;L;Y
5;213;L;Y
5;225;L;Y
5;244;L;Y
5;307;L;Y
5;341;L;Y
5;358;L;Y
5;384;L;Y
5;385;L;Y
5;430;L;Y
5;476;L;Y
5;501;L;Y
5;504;L;Y
5;557;L;Y
5;645;L;Y
5;752;L;Y
5;773;L;Y
5;938;L;Y
5;954;L;Y
6;113;L;Y
6;184;L;Y
6;201;L;Y
6;267;L;Y
6;304;L;Y
6;338;L;Y
